host_id,property_id,room_type,price,cleaning_fee,availability_next_30,availability_next_60,availability_next_90,reviews_per_month,review_scores_rating,review_scores_location,cancellation_policy,host_since,host_response_time,host_response_rate,host_is_superhost,host_listings_count,neighbourhood_group_cleansed,latitude,longitude,property_type,ordinal_rating,available,Years_host
141121552,11813,Entire home/apt,50.0,0.0,0,0,0,0.04,80.0,8.0,flexible,2017,a few days or more,0%,0,52.0,Lisboa,38.76753,-9.157110000000001,Guesthouse,1 Star,Red,3
140373333,11814,Entire home/apt,160.0,0.0,9,25,55,0.34,91.0,9.0,moderate,2017,within an hour,100%,0,1.0,Torres Vedras,39.07528,-9.41138,House,3 Stars,Green,3
13741518,11816,Entire home/apt,390.0,65.0,1,12,25,1.69,99.0,10.0,flexible,2014,within an hour,90%,1,1.0,Lisboa,38.70718,-9.143189999999999,Apartment,4 Stars,Yellow,6
12230734,11817,Entire home/apt,211.0,60.0,3,6,20,2.61,100.0,10.0,strict_14_with_grace_period,2014,within an hour,100%,1,2.0,Lisboa,38.70649,-9.1631,Apartment,5 Stars,Yellow,6
37300357,11818,Private room,36.0,10.0,14,43,46,0.72,95.0,10.0,moderate,2015,within an hour,100%,1,8.0,Lisboa,38.71079,-9.14547,Apartment,3 Stars,Green,5
141182327,11819,Entire home/apt,110.0,30.0,1,7,21,2.32,98.0,10.0,moderate,2017,within an hour,90%,1,1.0,Lisboa,38.71127,-9.14685,Apartment,4 Stars,Yellow,3
141195642,11821,Entire home/apt,115.0,25.0,7,15,45,0.95,85.0,9.0,moderate,2017,within an hour,100%,0,1.0,Cascais,38.75121,-9.439589999999999,House,2 Stars,Yellow,3
141136407,11822,Entire home/apt,140.0,20.0,7,27,57,0.66,93.0,10.0,strict_14_with_grace_period,2017,within a few hours,100%,0,1.0,Cascais,38.7007,-9.42255,Townhouse,3 Stars,Yellow,3
23780167,11823,Entire home/apt,130.0,65.0,6,13,25,2.11,94.0,10.0,moderate,2014,within an hour,100%,0,14.0,Lisboa,38.71313,-9.1377,Apartment,3 Stars,Yellow,6
77508210,11824,Entire home/apt,65.0,30.0,5,28,55,0.35,93.0,8.0,strict_14_with_grace_period,2016,within an hour,100%,0,3.0,Loures,38.80578,-9.12347,Apartment,3 Stars,Yellow,4
8781937,11825,Entire home/apt,64.0,35.0,0,3,7,3.09,95.0,9.0,strict_14_with_grace_period,2013,within an hour,92%,0,3.0,Lisboa,38.7192,-9.12375,Apartment,3 Stars,Red,7
141261727,11826,Entire home/apt,79.0,30.0,12,39,69,1.69,99.0,10.0,strict_14_with_grace_period,2017,within a few hours,100%,1,1.0,Lisboa,38.70975,-9.14983,Apartment,4 Stars,Green,3
141287050,11827,Entire home/apt,100.0,35.0,18,46,76,1.4,87.0,10.0,moderate,2017,within an hour,100%,0,1.0,Lisboa,38.71459,-9.1244,Apartment,2 Stars,Green,3
62521369,11830,Entire home/apt,180.0,35.0,6,33,63,5.26,86.0,9.0,moderate,2016,within an hour,99%,0,45.0,Lisboa,38.7154,-9.132530000000001,Apartment,2 Stars,Yellow,4
7564916,11831,Private room,50.0,25.0,27,51,67,0.09,70.0,9.0,strict_14_with_grace_period,2013,within an hour,100%,0,8.0,Lisboa,38.73595,-9.15152,Apartment,1 Star,Green,7
52683199,11832,Private room,33.0,0.0,11,30,56,1.24,99.0,10.0,flexible,2015,within an hour,100%,1,5.0,Mafra,39.01023,-9.41502,Bed and breakfast,4 Stars,Green,5
1322515,11833,Entire home/apt,80.0,25.0,0,0,0,0.31,94.0,10.0,moderate,2011,within an hour,90%,0,2.0,Lisboa,38.71295,-9.14519,Apartment,3 Stars,Red,9
